var	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188
1	0.508764427	0.41645971	0.389640903	0.40479387	0.419514535	0.368368685	-0.003057809	0.288126866	0.268288827	0.160656326	0.264415416	-0.090820421	-0.039648277	-0.193724235	-0.15582226	-0.060463751	-0.331012008	-0.210742117	-0.208439758	-0.080193789	-0.078923561	-0.021758254	-0.021736721	0.162301868	-0.050484852	0.099108973	-0.114111361	0.04939102	0.063290232	-0.002117822	-0.015198923	0.037803077	0.122829638	-0.010026805	-0.042688898	0.053837104	0.093590475	0.121410869	0.114075868	0.032430327	0.068872392	0.005850329	0.02467279	-0.07311881	-0.017434099	0.045145432	-0.062877906	-0.07362087	0.019042018	-0.035818338	-0.144826094	0.005234058	-0.222314834	0.025593425	-0.033009225	0.002166173	-0.00330575	-0.174810617	0.00044526	-0.012111566	-0.069875617	-0.017030528	-0.084713057	-0.074361513	0.167945972	-0.135568928	0.159940716	-0.198796194	0.021015064	-0.058283151	-0.100794486	0.013778883	-0.044774289	-0.016684404	-0.026077499	-0.07667812	-0.028176773	-0.125179248	-0.167410093	-0.221604523	-0.203089768	-0.260583694	-0.074118598	-0.048002208	-0.048131129	-0.018416942	0.04540934	0.073455187	-0.040590742	-0.083208134	0.0456261	-0.008909479	-0.011448751	0.055189796	0.133113353	0.034153985	0.062077183	0.087593702	0.204425461	-0.011416714	0.220627158	0.037560061	0.047230721	-0.032048792	0.08295303	-0.074072632	0.014099109	-0.013229904	0.040392261	0.015777726	0.012348469	-0.014512623	-0.047341242	0.02866703	0.094146943	-0.079878796	-0.034781196	0.136508883	-0.141823876	0.020652788	-0.175956668	-0.0740696	0.002733506	-0.157234944	-0.072444592	-0.077916719	-0.124732574	-0.053031098	-0.009692914	0.055389454	0.115420747	0.070886894	0.134465455	-0.040738919	0.105441452	-0.021905858	0.08381065	0.028993691	0.003926917	0.087004467	0.097404921	0.098421006	0.101548896	-0.037719236	0.102255961	0.130956749	-0.146174247	4.89E-06	0.005407847	0.074039689	-0.045695896	-0.02006118	-0.055226148	-0.063632686	-0.046844261	-0.023233158	-0.012154427	0.034018111	0.03646014	0.027890047	-0.021954395	-0.025220887	-0.206120277	-0.027431175	0.00582703	0.034424188	-0.03695073	-0.064161425	-0.070750709	-0.052519737	-0.100200451	-0.180049655	-0.066477126	-0.137012546	-0.11221559	-0.118550013	-0.116269946	-0.206670613	0.072621403	-0.163163719	-0.012047731	-0.034732123	0.037914836	0.104173598	0.115619655	-0.008123811	0.058850135	-0.021800897
2	0.41645971	0.668947348	0.410970778	0.47092337	0.524481454	0.427727713	-0.068316622	0.326966283	0.330620647	0.205305012	0.333451388	-0.132854101	-0.028395067	-0.243041559	-0.248365266	-0.116874772	-0.435867149	-0.328146817	-0.28073584	-0.106160755	-0.093795074	0.006877887	-0.00560666	0.18566756	-0.050342349	0.153348801	-0.171109876	0.05245461	0.11600085	-0.022438928	-0.012145394	0.059298717	0.209020846	0.005126407	-0.001742756	0.132923881	0.215774308	0.205861405	0.230936199	0.112649723	0.170232064	0.094095155	0.126889427	-0.111762594	-0.038238984	0.076331547	-0.074281969	-0.1406223	-0.004118535	-0.054227429	-0.26022704	-0.027897284	-0.359118865	0.04320054	-0.018998956	0.052103475	0.002932248	-0.228392366	0.017903067	0.016381339	-0.103898899	-0.029346387	-0.066617032	-0.091330396	0.229352669	-0.164509143	0.193902595	-0.242912162	0.025359816	-0.059510037	-0.102102156	0.048091542	-0.066063898	-0.034487055	-0.030287606	-0.125920056	-0.068517243	-0.185406233	-0.255742212	-0.314243845	-0.29619652	-0.363143229	-0.149299701	-0.111353408	-0.070069935	0.0239672	0.089408145	0.139516932	-0.012775647	-0.107333985	0.018346663	-0.002559821	-0.003708247	0.091851314	0.171729519	0.070303563	0.044271767	0.153512567	0.274040265	-0.032471321	0.221543542	0.011370848	0.000794186	-0.074186937	0.09804316	-0.148826502	0.037411754	0.016133222	0.070468234	-0.015131744	0.02637208	0.011934701	-0.023627514	0.065507757	0.145450589	-0.147905607	-0.05453023	0.186951757	-0.22656907	0.04738392	-0.265649549	-0.114310635	-0.003183541	-0.122349877	-0.039457659	-0.06545606	-0.096527779	-0.072103788	-0.032414023	0.097073387	0.142035146	0.040602698	0.108351267	-0.072684978	0.134552165	-0.073607777	0.055625522	0.029339362	-0.026931286	0.098578079	0.087529685	0.126960942	0.098967377	-0.073118449	0.088532208	0.195708938	-0.207411759	-0.015810677	-0.009737161	0.122330636	-0.044177517	-0.023323578	-0.097978702	-0.086199062	-0.093293382	-0.030923216	-0.058568965	0.013275792	-0.013093229	-0.016054604	0.017633823	0.001158482	-0.321230766	-0.064449991	0.054768478	0.01945464	-0.052374949	-0.040207261	-0.091152604	-0.002706536	-0.081849184	-0.186503884	-0.043886746	-0.183049638	-0.094697581	-0.120799392	-0.098784368	-0.316547824	0.100867966	-0.221615889	0.031996144	-0.069857033	0.087882351	0.182561348	0.14782145	0.016680712	0.137631058	0.035686369
3	0.389640903	0.410970778	0.81370836	0.308437554	0.330564657	0.336457312	0.15377713	0.239707677	0.334698852	0.387838484	0.197906951	-0.054679995	-0.113560299	-0.085208354	-0.315886272	-0.061878019	-0.057292394	-0.332838091	-0.265906252	-0.157505599	-0.262075794	-0.173204148	-0.082799065	0.004150956	0.04609556	0.098619804	-0.001552999	0.155998064	0.031339179	0.038941872	-0.059591091	0.083375145	0.016666456	-0.021960246	-0.030493143	-0.162408962	0.030227778	-0.071252209	0.090970173	-0.062013713	-0.032163273	-0.032785804	-0.027757806	-0.071515267	0.020099824	-0.079213686	-0.122189465	-0.002567995	-0.059347464	-0.107502199	-0.24757936	-0.021407752	-0.067455848	-0.008531631	-0.108565642	0.162528471	0.003924732	-0.007654713	-0.068978702	-0.109763963	-0.027942928	0.018919463	-0.015802735	-0.075575804	0.263148136	0.01088493	0.030287556	-0.112507194	-0.052621873	0.068017258	0.058177349	-0.04106772	-0.112289695	0.128503958	0.022363218	0.196433587	-0.001224493	-0.112674941	-0.071396321	-0.022830946	-0.033561996	-0.006593187	0.044821627	-0.045205177	-0.085839709	0.002019352	0.081150462	0.066573354	0.080060843	-0.138192246	0.05074254	-0.11208572	0.035607643	0.038957795	0.04939736	-0.270309991	-0.046192923	-0.011210924	-0.081805101	-0.054085454	0.119114115	-0.036509238	0.015600914	-0.011127937	0.041526173	-0.124855842	-0.038309063	-0.026344996	-0.105599305	0.00434877	-0.208453096	0.003138108	0.041388826	-0.094283373	0.032851831	-0.004214152	0.11904184	0.052126289	0.038741757	0.085497282	0.069127613	0.082607415	0.016539324	0.086657959	-0.017396968	-0.023242469	-0.200759896	-0.063571542	-0.142602287	0.05043881	-0.105458658	0.189489747	0.171849785	0.201388906	-0.044436702	0.14061958	0.212327927	0.153003535	0.154783977	0.237525769	0.07069913	0.012238432	0.096328913	-0.046596186	-0.001533118	-0.009474621	-0.003188076	0.029018739	-0.000203728	-0.112439698	-0.036249625	-0.024096264	-0.077867867	-0.08366546	-0.086514785	-0.040475096	0.047632337	-0.067024947	0.107455414	0.067410107	-0.077438172	-0.179129297	-0.224204338	-0.18605425	-0.142550306	-0.027581092	-0.083006246	-0.089539909	-0.192031917	-0.147549602	-0.222922871	-0.124700406	-0.136193596	-0.157310048	-0.127043864	-0.150741748	-0.216543896	0.110190658	0.018642475	0.034682978	0.07711444	0.204578934	0.010379123	0.123288477	0.07568854	0.054550849	-0.016595333	0.023387378
4	0.40479387	0.47092337	0.308437554	1.029975685	0.829395291	0.674925192	-0.024843297	0.325182724	0.224494325	0.128522403	0.298416278	-0.35264915	-0.279106969	-0.39317351	-0.312835758	-0.225335199	-0.455036196	-0.276820389	-0.279918401	-0.297712064	-0.231141495	-0.181812826	-0.070535011	0.189518302	-0.029551563	0.185026784	-0.206839786	-0.083254079	-0.012925099	-0.104099609	-0.156947482	-0.009808264	0.416319768	0.195024216	-0.100486207	0.129630649	0.165365125	0.264563518	0.154348414	-0.000831627	0.161681615	-0.04184462	-0.032929237	-0.274038679	-0.134442487	0.089902812	-0.230093025	-0.229748617	-0.16995511	-0.21268435	-0.24298942	-0.012016912	-0.308305048	0.142993716	-0.132213546	0.096851466	0.104741674	-0.193124607	0.010714939	-0.04121384	-0.140387782	-0.060950407	-0.06579923	-0.138986038	0.300809023	-0.016370399	0.613698329	0.013639767	0.087122349	0.012272132	-0.112695305	0.100223044	-0.052732638	-0.057359345	-0.000978203	-0.292465833	-0.255734654	-0.331802951	-0.38401626	-0.360438759	-0.300846874	-0.39926253	-0.310396464	-0.168072302	-0.215206707	0.198093695	0.218739015	0.33847191	0.051710872	0.008048883	0.237213577	0.170827332	-0.009279624	0.115351164	0.251877037	0.13796845	0.397397398	0.644603036	0.780627313	0.116264291	0.626397178	0.212031071	0.259598861	0.046360996	0.082686467	-0.019525287	-0.032043075	0.010334835	0.096480298	0.018315294	0.041412165	-0.088726881	0.018060172	0.083511176	0.162045476	-0.059461479	-0.066758407	0.204550842	-0.058238464	-0.021786626	-0.122965626	-0.130037112	-0.005658111	-0.284146297	-0.257718834	-0.299759662	-0.191920067	-0.220318616	-0.047274143	0.081347406	0.123322597	0.015307445	0.160050359	-0.057156103	0.089167943	-0.022417078	0.124586405	-0.025114366	-0.02500701	0.117489972	0.147885117	0.216456217	0.109374559	0.027954408	0.301682705	0.293313178	-0.310660997	-0.011766654	-0.056713492	0.1925202	-0.270133266	-0.227046838	-0.292557108	-0.159789193	-0.161406363	-0.130640983	-0.230852648	-0.082164541	-0.214667369	-0.163604441	-0.118341185	-0.062571938	-0.222515231	-0.178389889	-0.131220299	-0.128069719	-0.218318552	-0.05054512	-0.098520776	-0.038076278	-0.15081241	-0.213088154	-0.15777545	-0.186720618	-0.204360566	-0.181847378	-0.241330308	-0.053276498	0.13162702	-0.067069944	0.083903759	-0.033767207	0.173094796	0.317418648	0.33672195	-0.027371772	0.319977487	0.105377004
5	0.419514535	0.524481454	0.330564657	0.829395291	1.128598455	0.657525796	0.038468963	0.474669888	0.261519391	0.128935685	0.384470036	-0.342501896	-0.230116768	-0.432067214	-0.318205779	-0.227874939	-0.544522168	-0.35390765	-0.360927095	-0.249887817	-0.217958774	-0.147492282	-0.044252603	0.209155305	-0.078663405	0.226895791	-0.233954844	-0.125398014	0.015423064	-0.073757088	-0.123367128	0.011016142	0.437826201	0.16845332	-0.128214873	0.157989745	0.212496521	0.320429125	0.155803316	0.008389874	0.183194121	0.033866386	-0.025080872	-0.262610773	-0.195898781	0.12921345	-0.183512807	-0.295711336	-0.134521361	-0.162223215	-0.06709475	-0.069383623	-0.434066409	0.168274711	-0.155962467	0.112971467	0.153378677	-0.007650392	0.053424573	-0.026124498	-0.102714809	-0.052958285	0.032691056	-0.119917221	0.391033066	-0.013003386	0.555177758	-0.139565441	0.206303993	-0.049279373	-0.103786435	0.062600269	-0.137703354	0.001708271	-0.006056038	-0.277767604	-0.260867829	-0.337407984	-0.231779465	-0.364664913	-0.394751959	-0.525720034	-0.360221236	-0.185519561	-0.203140358	0.159081037	0.322064611	0.335547403	0.06784399	-0.074267125	0.201616708	0.206263202	0.056031529	0.110288284	0.212946156	0.26232652	0.33207347	0.430774795	0.731919172	0.141700413	0.557986035	0.204712866	0.249011539	-0.012084217	0.044866323	-0.042415138	0.008179238	-0.025477349	0.029693479	0.016170509	0.00454975	-0.106457182	-0.030321331	0.106590617	0.173536157	0.126537801	-0.074453206	0.23995396	-0.180920073	-0.012479625	-0.207516854	-0.132509524	0.103778731	-0.219359795	-0.338932412	-0.266611515	-0.14770742	-0.191776493	0.127713841	0.114213779	0.143886049	-0.043362036	0.134205198	-0.206843403	0.107213789	-0.040262536	0.159072598	-0.02230646	-0.01870349	0.092419256	0.177469662	0.277226095	0.149751309	-0.044340108	0.232754971	0.330122447	-0.288604078	0.034087506	-0.061460402	0.192163359	-0.266863686	-0.297236346	-0.271024811	-0.129104032	-0.129160856	-0.196385866	-0.242665797	-0.009013794	-0.199635127	-0.174132137	-0.087624475	-0.007949137	-0.424911558	-0.203699251	-0.154452196	-0.176243657	-0.193985006	-0.096812579	-0.078997917	-0.128036435	-0.183813867	-0.215558209	-0.185573925	-0.144566634	-0.243928214	-0.21074523	-0.193609486	-0.220085505	0.09827642	-0.175731854	0.086492844	-0.072276538	0.154786282	0.274267592	0.288629629	-0.024310053	0.343772814	0.106612874
6	0.368368685	0.427727713	0.336457312	0.674925192	0.657525796	0.703301728	-0.071385171	0.268988123	0.243184638	0.223927036	0.312394707	-0.288611699	-0.254073629	-0.302012598	-0.300199855	-0.18168606	-0.339925059	-0.209347115	-0.231724367	-0.256940539	-0.202568239	-0.116527394	-0.007543378	0.141522127	-0.001227114	0.143036546	-0.123511999	-0.021677026	-4.51E-05	-0.034874062	-0.078977259	0.012410328	0.276820134	0.149094764	-0.037535968	0.123411856	0.165235062	0.242213972	0.11095485	0.04042497	0.154855561	-0.008590397	0.013870861	-0.205689332	-0.084807793	0.048996571	-0.158434947	-0.14728756	-0.124100546	-0.161585992	-0.14311278	0.020510325	-0.20870443	0.082212324	-0.069715292	0.073330928	0.011501204	-0.175073843	-0.014021519	-0.006374468	-0.055681184	-0.074495402	-0.066353032	-0.113066827	0.234447504	-0.07187774	0.437877524	0.015157513	0.040975656	-0.016243947	-0.078103664	0.093427539	-0.004120814	-0.066833127	0.03082787	-0.258528165	-0.160813289	-0.222052281	-0.313491348	-0.272011466	-0.210560821	-0.264218247	-0.195298167	-0.135074824	-0.126385993	0.17599196	0.153885278	0.281141294	0.039211124	-0.018229209	0.189013785	0.132286098	-0.032151728	0.126375822	0.182820788	0.127678944	0.250348425	0.393202484	0.499227317	0.0845937	0.430139347	0.119333009	0.171503687	0.053663593	0.008137748	-0.033233592	0.022896922	0.032837855	0.060896581	-0.010427696	0.037200325	-0.054720781	-0.046849662	0.067302252	0.115754832	-0.003740642	0.006794834	0.17817524	0.001702784	0.015572992	-0.068498291	-0.116707873	0.048941715	-0.319643126	-0.195745431	-0.205936066	-0.152006766	-0.160691667	-0.105860561	0.013844567	0.070570213	0.002557968	0.111042458	0.00516447	0.044821946	-0.013202238	0.068131365	-0.004507661	-0.012951495	0.076242132	0.04519211	0.05960329	0.020384349	0.011684009	0.196524424	0.159487139	-0.24606247	-0.053070298	-0.053964538	0.130686022	-0.19191842	-0.144304656	-0.198884948	-0.09423353	-0.100705305	-0.091425859	-0.140039634	-0.090858152	-0.121414632	-0.110939483	-0.081956163	-0.051692756	-0.209922084	-0.12272778	-0.107151397	-0.099850891	-0.166070063	-0.064550203	-0.07699981	-0.09476277	-0.150685383	-0.255617361	-0.138441559	-0.207455762	-0.1992097	-0.18483512	-0.239589578	-0.03361505	0.096408263	-0.066218825	0.049068216	0.006096856	0.162154625	0.233400766	0.259321477	0.002494063	0.217077253	0.088875974
7	-0.003057809	-0.068316622	0.15377713	-0.024843297	0.038468963	-0.071385171	2.141016871	0.188894103	-0.139350945	0.200515518	-0.268344437	-0.219518602	-0.349095868	0.357599249	-0.06534846	-0.097327489	0.753920704	0.197151362	-0.136774507	-0.191959366	-0.465891721	-0.513989688	-0.042659921	-0.536192698	0.061749588	-0.145112431	0.292515025	-0.331737319	-0.26177355	-0.069119071	-0.323995189	-0.066836863	-0.282447557	-0.232206551	-0.147964115	-0.5724353	-0.384120877	-0.381125214	-0.370953159	-0.616026255	-0.405305333	-0.206493706	-0.445171553	0.125220471	-0.032371701	-0.177410247	-0.188866156	-0.146172684	-0.271876725	-0.057126089	0.302778621	-0.216065939	0.611017687	-0.254887179	-0.505046405	0.038465456	0.164427334	1.274660528	-0.293641956	-0.53871328	0.03681246	0.031288975	0.496572913	-0.076779496	0.062371113	0.859808841	-0.1932909	0.497284615	0.244165129	0.121393862	0.252053502	-0.498185273	-0.195008315	0.406239198	0.032747624	0.50587937	-0.221365016	-0.155366334	0.85284125	0.774135001	0.422134451	0.522209758	-0.191173833	0.175915222	-0.351108969	-0.054448709	0.219725092	-0.165094076	0.304348154	0.078243742	0.044439949	-0.030274728	0.630712899	-0.138686636	-0.480102864	-0.113004814	0.246213071	-0.28416852	-0.132914005	0.258847712	-0.226805165	0.096774194	0.12627863	0.220257195	-0.153500827	0.343270747	-0.219458193	-0.217922181	-0.311766594	0.262202605	-0.476696375	-0.123858152	0.266371067	-0.213577199	-0.199501262	0.523088056	0.188484587	-0.350084511	0.553471324	0.172530952	1.260515677	0.647809087	0.084727024	1.100245443	-0.241426363	-0.249362334	-0.135283395	-0.089764972	0.394580092	-0.142723516	-0.522433955	0.008083154	-0.312074276	0.09614902	-0.336272155	0.300781199	0.222983975	0.180782818	0.142379394	-0.010219257	-0.204583661	0.068383107	0.015526281	-0.116222838	-0.374986736	-0.193169059	0.381341156	0.202635916	0.020694596	-0.50768047	-0.3383175	-0.455272735	-0.213485512	0.005683541	0.002618984	-0.25617774	-0.086244211	-0.196675968	-0.333110694	-0.102798915	-0.304758784	-0.185413808	0.637274615	-0.565850015	-0.581787414	-0.440181807	-0.371178888	-0.239577781	-0.275453593	-0.396242944	-0.192751875	0.475500665	-0.426567713	0.381225444	-0.183859962	0.021079529	-0.138583335	1.124718354	-0.182625732	0.928069023	0.296494376	0.355370324	-0.09791729	-0.13050953	-0.141168856	-0.031615944	0.098123518	0.012465399
8	0.288126866	0.326966283	0.239707677	0.325182724	0.474669888	0.268988123	0.188894103	0.656566905	0.245980736	0.056112939	0.256565177	-0.05783417	0.038854054	-0.223961511	-0.135380244	-0.052029362	-0.394737067	-0.227599384	-0.232800014	0.029663233	-0.020685426	0.014561011	0.012359817	0.108247801	-0.134321432	0.094050875	-0.097431725	-0.069304172	0.051844693	-0.022058927	0.024864688	0.012586554	0.237657432	-0.026652247	-0.056319796	0.003511252	0.077709609	0.123806376	0.111820526	0.038789574	0.098872838	0.120775525	0.02803965	-0.013345053	-0.154315709	0.104051934	0.005725271	-0.157569026	0.028848416	0.013649967	0.145404001	-0.120050353	-0.258108555	0.056089233	-0.087207445	0.022915339	0.099568331	0.104887266	0.039454083	-0.055577471	-0.098916613	0.044939392	0.082651163	-0.035112368	0.132542219	-0.062929625	0.109943529	-0.350086512	0.166890677	-0.143953646	-0.076968512	-0.054487482	-0.151574616	0.023744156	-0.074217117	-0.051408368	-0.059404202	-0.148927232	0.063048654	-0.193867097	-0.252395713	-0.381198642	-0.201609753	-0.055609433	-0.065326112	-0.103236563	0.123099913	0.004567192	-0.07935916	-0.162976056	-0.002674143	0.033094724	0.054531704	-0.011457709	-0.007863037	0.164939071	-0.018730074	-0.176430549	0.125159985	-0.041989698	0.097411963	0.028397877	0.01065699	-0.082985078	0.103880327	-0.003488932	0.037607717	-0.067992316	-0.033487352	0.017968088	-0.042171472	-0.037888239	-0.031025853	0.029770582	0.107271709	0.088632478	-0.080238025	0.149993634	-0.268667998	0.02771601	-0.243019896	-0.043242868	0.057528156	0.005064981	-0.113440027	-0.028568089	-0.024524969	-0.020187771	0.254861291	0.081679451	0.084193358	-0.059143398	0.065540356	-0.241810979	0.089109508	-0.037555787	0.096360747	-0.027599335	-0.05486205	0.011085563	0.166624972	0.237571577	0.174137204	-0.146006261	0.0228115	0.250679334	-0.081748022	0.081200416	-0.003495484	0.106707931	-0.009798167	-0.088413666	0.007395584	-0.063963734	-0.005128562	-0.077146497	-0.099289111	0.160850214	0.034112159	0.023395566	0.029527507	0.052329554	-0.271216806	0.001767722	0.018912782	-0.011997998	0.002440394	-0.09242634	-0.037061997	-0.157458742	-0.01057558	-0.067691285	-0.069356437	0.010901737	-0.093099112	-0.106318836	-0.016230562	-0.321479278	0.037420697	-0.223124019	0.015717574	-0.068527317	-0.027488793	0.09087125	0.053687415	-0.015209359	0.07528079	-0.038446185
9	0.268288827	0.330620647	0.334698852	0.224494325	0.261519391	0.243184638	-0.139350945	0.245980736	0.689800216	0.233361347	0.390313461	0.006489151	0.059427808	-0.195488475	-0.201809657	-0.016166592	-0.280626622	-0.24675948	-0.197786948	-0.007591126	-0.035723858	0.016319889	-0.005903738	0.092769198	-0.052124209	0.069766879	-0.098880685	0.105525369	0.093740793	-0.004300252	0.036663673	0.056001524	0.154406568	0.043792832	0.058072958	0.047014835	0.13788148	0.086555327	0.166452601	0.077989192	0.117315858	0.123048194	0.10766458	-0.018733135	-0.034110525	0.049680325	-0.091037459	-0.044515666	0.01321266	-0.022871314	-0.248966115	-0.052762855	-0.254418432	0.04201713	0.034518354	0.116240764	-0.008515856	-0.172547623	0.03598165	0.054462998	-0.111404501	0.0380082	-0.06882296	-0.034470639	0.104860753	-0.175144534	0.021997251	-0.30711686	0.005758344	-0.030180818	-0.054162294	0.046144541	-0.083403828	-0.023715855	-0.048627702	0.034689709	0.008617815	-0.083740016	-0.153880472	-0.220823301	-0.191434636	-0.241577693	-0.022771166	-0.086193024	-0.028954142	-0.014310784	0.014991806	0.073806198	-0.028876169	-0.151529	0.058860855	-0.01717708	-0.066180466	0.028284795	0.064355261	-0.068579452	-0.102018109	-0.014865678	-0.037327538	-0.086351851	0.034407294	-0.036676348	-0.052716388	-0.097216265	0.094617191	-0.153505484	0.003602916	-0.006307023	-0.001549189	-0.054935106	-0.04931038	0.027323355	-0.079451402	-0.008756507	0.083565726	-0.21099782	-0.016472733	0.127589726	-0.177311717	0.013025852	-0.289485579	-0.050696454	0.011490284	-0.073385715	0.046636506	0.02931126	-0.058279432	-0.020626142	-0.049206062	0.106036918	0.038339533	0.036095549	0.072664911	-0.036919085	0.070525305	-0.060945465	0.03007007	-0.000698101	-0.025664255	0.064718837	0.12564587	0.08983089	0.110239917	-0.085384216	0.032558438	0.124628511	-0.091069328	0.017156308	0.004591318	0.091127685	0.062196614	0.064770123	0.07497586	-0.018112873	-0.041154144	0.062359425	0.022795314	0.079541317	0.112255415	0.08523521	0.071268189	-0.029900217	-0.264256116	0.021541581	0.08747697	0.123081465	0.014804018	-0.027551798	0.017686943	-0.047803641	-0.060328918	-0.162801609	0.010473438	-0.1329201	-0.030365844	-0.098155981	-0.061212435	-0.27090115	0.034587285	-0.214214669	-0.008602446	-0.028788828	0.009584477	0.11447581	0.032124164	0.013068525	-0.022996887	-0.033486781
10	0.160656326	0.205305012	0.387838484	0.128522403	0.128935685	0.223927036	0.200515518	0.056112939	0.233361347	0.839190064	0.229940882	-0.096103182	-0.202495476	0.057739933	-0.20896563	-0.091252568	0.213011719	-0.123684183	-0.090275304	-0.244537993	-0.237812581	-0.091515407	0.052273083	-0.088379985	0.104848967	-0.024679861	0.079267527	0.090172643	-0.02881815	0.03126452	-0.075545563	0.016854516	-0.032925118	0.109910016	0.060307968	-0.044499398	0.018137348	-0.037647298	-0.084726504	-0.069722587	-0.068708373	-0.013424416	0.032430654	-0.063871451	0.081228881	-0.13980764	-0.040020561	0.019139106	-0.118206946	-0.08535501	-0.067078906	-0.018263552	0.125783684	-0.141281477	-0.067177178	0.110545249	-0.107662607	0.043849088	-0.153814609	-0.079940548	0.065652458	-0.069063476	-0.012240084	-0.12748445	0.068826853	0.170788385	-0.07964419	0.226092666	-0.085170975	0.064835194	0.129641585	-0.019922819	0.047843392	0.048362087	0.13235259	0.0371621	-0.016186227	0.04387455	-0.099328134	0.111690749	0.142995542	0.261399977	0.091639023	-0.013338713	-0.03030266	0.135309639	0.042763814	0.12760588	0.152634742	0.01841769	0.059860878	0.02523298	-0.01902749	0.066325072	-0.069991649	-0.197189434	-0.042402505	-0.084168942	-0.233949982	0.102130685	-0.147896428	-0.051553818	0.017251418	0.056285413	-0.134193423	-0.062172791	-0.012692575	0.000705964	-0.104309901	-0.070127462	-0.18952622	-0.010661446	-0.016582951	-0.109470447	-0.006855998	0.153236668	0.28436832	-0.044644755	0.306672526	0.148417735	0.34615607	0.175892106	0.153080134	-0.053629955	-0.085328584	-0.102410777	-0.156356382	-0.056370582	-0.254523703	-0.114060986	-0.201379859	0.055493175	-0.015779901	0.210889237	-0.188379388	0.149964569	0.042237621	0.065925783	0.115828984	0.066975301	-0.211294374	-0.26480256	-0.16959119	0.060601025	-0.071966509	-0.293832131	0.028712828	-0.087635847	-0.036708397	-0.22053475	-0.107335583	-0.002937364	-0.165989683	-0.045414387	-0.053181079	-0.020971981	0.034022997	-0.237464202	0.00316235	0.014236037	-0.088919814	-0.205152808	0.023351259	-0.194906626	-0.163104972	-0.096059714	-0.127362064	-0.046646534	-0.126790593	-0.11787318	-0.155715424	-0.013202684	-0.143187961	-0.118499015	-0.10062545	-0.051662763	-0.159386624	0.408746293	-0.015315392	0.237866734	0.112532757	0.200454475	0.087515718	0.091275173	0.00967212	0.101781109	0.008843963	0.153926886
