var	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188
1	0.171974086	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
2	0.171973986	0.171974086	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
3	0.171973986	0.171973986	0.171974086	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
4	0.171973986	0.171973986	0.171973986	0.171974086	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
5	0.171973986	0.171973986	0.171973986	0.171973986	0.171974086	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
6	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171974086	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
7	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171974086	0.171973986	0.171973986	0.171973986	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
8	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171974086	0.171973986	0.171973986	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
9	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171974086	0.171973986	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
10	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171973986	0.171974086	0.171973986	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.003823422	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.059674341	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.029113542	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	-0.023521407	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.119538763	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.103407177	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	0.096543229	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	-0.003085264	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.05788325	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	0.031511568	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.086492407	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.058532163	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.060757384	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.001467948	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.047170172	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.071196943	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.060699313	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668	-0.075323668
